Category,Service Name,Customer Description,Unit Type,Base Price,Minimum Charge,Add-ons,Internal Notes
Vegetation Management,Fence Line Cleanup,"Restore fence lines overgrown with brush, vines, and saplings. Cleared to allow fence repair or visibility. Tracked Bobcat equipment. Owner-operated. Free quotes. Before & after photos available.",Per linear foot,7.50,750.00,Brush haul-off; Tree removal at fence corners,"Density-based pricing. Light $4.50/ft, Medium $7.50/ft, Heavy $14/ft. Best Attachment: brush cutter or grapple."
Tree & Stump,Stump Grinding - Standard,Stump ground to 4-6 in below grade using tracked Bobcat with stump grinder. Chips left on-site or hauled per request. Owner-operated. Free quotes.,Per inch of diameter,7.00,185.00,Chip haul-off; Soil and seed restoration,Multi-stump discount: 10% off when 5+ stumps booked together; 15% off for 10+. Best Attachment: stump grinder. Typical 15-45 min per stump.
Tree & Stump,Small Tree Removal,"Removal of small trees up to 25 ft tall in accessible locations using tracked Bobcat equipment. Includes felling, sectioning, and stacking or haul-off. Owner-operated. Free quotes.",Per tree,385.00,450.00,Stump grinding; Brush removal,Typical 6-12 in trunk. No tall climbing. Refer to arborist for trees with overhead hazards or near structures. Best Attachment: grapple plus chainsaw.
Grading & Dirt Work,Light Grading,"Surface grading and leveling for yards, pads, lots, and driveway approaches. Tracked Bobcat equipment.",Per hour,185.00,740.00,Topsoil spread; Seed prep,4-hr minimum recommended. Add Harley rake premium ($225/hr) for finish work. Best Attachment: standard bucket or Harley rake.
Grading & Dirt Work,Dirt Work - Excavation & Fill,"General dirt work including small excavation, fill, leveling, and pad prep using tracked Bobcat equipment.",Per hour,195.00,650.00,Material delivery; Drainage tie-in,Always confirm utility locates (Kansas One-Call) before quoting. Best Attachment: standard bucket. Utility Locate Required.
Specialty / Project Services,Minor Drainage Correction,"Project-style correction of standing-water issues - swale shaping, surface drainage, or low-spot fill - using tracked Bobcat equipment.",Per project,1450.00,650.00,Material supply; French drain rock; Gravel top dressing,Secondary service - do not lead residential marketing with this. Walk site before quoting. Avoid jobs requiring engineered designs. Quote Confidence: Low - site visit required.
Demolition,Small Demolition - Sheds & Outbuildings,"Demolition and haul-off of sheds, small outbuildings, decks, fences, and accessory structures. Tracked Bobcat equipment.",Per project,1850.00,850.00,Concrete pad removal; Site grading,Quote on site only. Confirm asbestos-free for pre-1980 structures. Best Attachment: grapple. Quote Confidence: Low.
Demolition,Fence Removal,Removal and haul-off of existing fencing including posts. Tracked Bobcat equipment.,Per linear foot,6.50,450.00,Site cleanup; Regrade,Concrete-set posts +$3/ft. Barbed wire +$2/ft. Best Attachment: grapple.
Hourly / Skid Steer,Skid Steer + Operator - Hourly,"Tracked Bobcat skid steer with experienced owner-operator for hourly work. Versatile, productive, and efficient for a wide range of property tasks. Free quotes.",Per hour,185.00,370.00,Attachment premium; Material delivery,2-hr minimum on-site. See attachment matrix for upcharge per attachment.
Hourly / Skid Steer,Half Day Skid Steer,"Half-day tracked Bobcat skid steer service - ideal for medium cleanup, grading, or material spreading projects. Owner-operated. Free quotes.",Flat (4 hours),625.00,625.00,Attachment upgrade; Material,Mobilization included within 25 mi.
Hourly / Skid Steer,Full Day Skid Steer,Full-day tracked Bobcat skid steer service for larger property projects. Owner-operated. Free quotes.,Flat (8 hours),1200.00,1200.00,Attachment upgrade; Dump fee,Best margin. Mobilization included within 25 mi.
Service Bundles,Rural Property Cleanup Package,"Up to 2 brush piles removed, 3 hours tracked Bobcat with grapple, light fence-line touch-up (up to 200 ft), and property debris haul-off (1 trailer load). Owner-operated. Free quotes.",Package,1495.00,1495.00,Additional brush piles; Extra fence line,"À la carte $1,650; saves $155. Most popular rural offering."
Service Bundles,Driveway Refresh Package,"Up to 12 tons AB-3 delivered and spread, pothole repair (up to 6 holes), light grading and re-crown, edge re-establishment. Tracked Bobcat equipment. Owner-operated. Free quotes. Before & after photos available.",Package,1995.00,1995.00,Additional tonnage at $145/ton; Drainage correction,"À la carte $2,250; saves $255. Lead bundle for residential."
Service Bundles,Fence Line Recovery Package,"Up to 500 linear feet of fence line cleared (medium density), brush haul-off or push-to-burn-pile, corner tree/stump prep (up to 3 stumps under 12 in), 1 hour finish-grade touch-up. Tracked Bobcat equipment.",Package,4250.00,4250.00,Additional linear feet; Heavy density upgrade,"À la carte $4,650; saves $400. Project-style sale."
Service Bundles,Storm Cleanup Package,"6 hours tracked Bobcat with grapple, up to 3 brush piles consolidated/removed, 1 small tree removal (up to 12 in trunk, accessible), driveway clearing and access restoration. Owner-operated. Free quotes.",Package,1950.00,1950.00,Additional hours; Additional tree removal,"À la carte $2,150; saves $200. 25% emergency surcharge if booked within 48 hrs of event."
Service Bundles,Acreage Maintenance - Per Visit,"Up to 5 acres rotary mowing, fence-line touch-up (up to 250 ft), one brush pile pushed/cleared. Tracked Bobcat equipment. Owner-operated.",Per visit,1375.00,1375.00,Additional acreage; Heavy density upgrade,Recurring revenue base. Schedule visits ~10 weeks apart May-October.
Service Bundles,Acreage Maintenance - 3-Visit Seasonal,"Three scheduled maintenance visits during the May-October season. Each visit includes up to 5 acres mowed, 250 ft fence-line touch-up, and one brush pile cleared. Tracked Bobcat equipment.",Seasonal plan (3 visits),3750.00,3750.00,Additional acreage; Extra visits,Saves $375 vs per-visit. Collect 1/3 deposit at signing.
